0.000,11.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
161.274,152.818,149.545,143.545,127.455,108.636,95.727,86.546,73.908,82.455,91.636,101.182,110.727,120.363,130.000,138.182,144.000,149.818,155.455,165.181,172.364,173.091,172.818,175.182,176.909,172.273,165.273,159.909
168.364,161.091,154.909,144.818,133.364,125.273,115.818,105.273,93.818,81.364,75.909,83.272,94.000,104.182,115.910,127.455,134.545,141.819,148.182,157.091,162.636,163.909,168.545,175.455,176.364,172.364,168.091,161.818
167.091,164.091,157.909,144.636,135.091,130.455,123.364,119.273,115.364,107.455,91.455,80.091,81.091,90.727,102.727,114.273,124.727,131.545,137.273,143.818,150.909,158.182,165.455,170.364,170.091,170.363,167.182,160.727
170.273,163.182,158.546,145.545,140.182,137.909,127.182,122.273,124.545,126.364,117.908,101.636,87.636,83.818,88.274,97.545,111.365,120.000,126.364,132.727,140.636,149.727,157.000,160.636,164.909,167.545,165.364,160.636
176.182,167.727,160.364,144.727,143.273,144.909,136.364,133.363,132.545,131.091,134.000,126.635,109.727,93.818,88.455,91.181,95.908,109.727,117.000,124.909,132.000,139.000,147.000,153.727,160.364,162.000,162.455,160.818
177.000,170.273,159.364,146.000,145.000,145.545,141.909,143.727,143.909,142.636,143.182,138.909,127.273,113.636,104.909,100.818,96.727,98.819,105.817,115.182,122.727,130.455,139.364,146.909,151.728,155.000,158.000,158.909
176.909,169.909,156.182,144.183,143.364,144.273,144.182,148.545,151.545,150.818,149.273,145.364,134.727,126.455,115.182,114.364,119.000,108.455,104.000,105.182,112.364,120.818,127.910,135.273,140.818,146.455,150.909,154.545
177.000,170.636,154.636,142.000,144.909,146.364,145.455,152.273,157.546,153.273,149.727,148.091,138.364,128.818,118.273,124.182,134.091,139.090,124.545,109.727,103.818,108.364,116.909,124.818,132.545,139.273,144.636,149.545
173.000,166.364,151.364,142.182,149.273,146.455,148.000,159.273,162.000,156.636,152.909,144.455,143.364,127.181,123.818,129.455,142.545,155.545,151.091,136.273,114.909,104.545,108.455,114.637,123.182,128.727,137.818,140.273
168.636,158.455,146.455,148.182,145.364,139.545,154.364,161.455,160.727,157.909,154.818,144.817,143.636,124.636,128.727,139.000,160.636,169.545,169.818,162.455,142.545,117.364,102.636,108.273,113.727,123.455,131.364,132.545
